Sum of n,Column Labels,,
Row Labels,1,2,Grand Total
0,3073,2664,5737
1,567,158,725
2,531,146,677
3,578,147,725
4,564,137,701
5,529,141,670
6,515,161,676
7,522,188,710
8,445,169,614
9,329,138,467
10,316,142,458
11,266,129,395
12,243,122,365
13,279,143,422
14,244,131,375
15,172,103,275
16,155,84,239
17,164,87,251
18,157,77,234
19,157,78,235
20,161,90,251
21,151,108,259
22,125,73,198
23,111,69,180
24,83,52,135
25,123,50,173
26,101,66,167
27,115,76,191
28,119,72,191
29,96,54,150
30,73,35,108
31,75,46,121
32,70,38,108
33,73,40,113
34,90,55,145
35,94,48,142
36,57,42,99
37,63,29,92
38,57,22,79
39,44,41,85
40,54,36,90
41,75,51,126
42,62,36,98
43,48,27,75
44,43,27,70
45,49,30,79
46,41,33,74
47,38,23,61
48,47,27,74
49,62,31,93
50,46,20,66
51,44,15,59
52,32,21,53
53,32,20,52
54,38,18,56
55,35,26,61
56,39,21,60
57,31,18,49
58,25,12,37
59,27,10,37
60,27,18,45
61,24,14,38
62,26,14,40
63,41,14,55
64,28,14,42
65,16,10,26
66,21,14,35
67,31,10,41
68,31,14,45
69,23,13,36
70,31,21,52
71,21,11,32
72,17,13,30
73,19,10,29
74,14,5,19
75,17,10,27
76,21,10,31
77,21,6,27
78,21,,21
79,15,5,20
80,14,6,20
81,13,,13
82,11,5,16
83,16,8,24
84,16,11,27
85,11,,11
86,12,5,17
87,10,5,15
88,6,5,11
89,12,10,22
90,7,8,15
91,19,12,31
92,8,11,19
93,7,7,14
95,12,,12
96,7,,7
97,11,11,22
98,9,5,14
99,8,,8
100,,5,5
101,11,,11
102,11,,11
103,,5,5
104,7,9,16
105,7,5,12
106,10,,10
107,5,,5
108,9,,9
109,6,,6
110,6,,6
111,5,8,13
112,10,,10
113,5,,5
114,7,5,12
116,9,,9
117,8,,8
118,,5,5
119,8,,8
120,5,,5
123,6,,6
126,6,5,11
128,5,5,10
133,5,,5
139,5,,5
145,5,,5
147,7,,7
155,5,,5
Grand Total,13402,7140,20542
